ROWNO,PT_NO,PT_NM,ADDR,ORG_NM,WMYR,WMOD,WMWK,LON_DGR,LON_MIN,LON_SEC,LAT_DGR,LAT_MIN,LAT_SEC,WMCYMD,WMDEP,ITEM_LVL,ITEM_AMNT,ITEM_TEMP,ITEM_PH,ITEM_DOC,ITEM_BOD,ITEM_COD,ITEM_SS,ITEM_TCOLI,ITEM_TN,ITEM_TP,ITEM_CD,ITEM_CN,ITEM_PB,ITEM_CR6,ITEM_AS,ITEM_HG,ITEM_CU,ITEM_ABS,ITEM_PCB,ITEM_OP,ITEM_MN,ITEM_TRANS,ITEM_CLOA,ITEM_CL,ITEM_ZN,ITEM_CR,ITEM_FE,ITEM_PHENOL,ITEM_NHEX,ITEM_EC,ITEM_TCE,ITEM_PCE,ITEM_NO3N,ITEM_NH3N,ITEM_ECOLI,ITEM_POP,ITEM_DTN,ITEM_DTP,ITEM_FL,ITEM_COL,ITEM_ALGOL,ITEM_CCL4,ITEM_DCETH,ITEM_DCM,ITEM_BENZENE,ITEM_CHCL3,ITEM_TOC,ITEM_DEHP,ITEM_ANTIMON,ITEM_DIOX,ITEM_HCHO,ITEM_HCB,ITEM_NI,ITEM_BA,ITEM_SE1,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,01,1회차,127,28,36,36,22,,2012.01.05,,,,         6.9,         7.6,        12.9,         1.1,         3.6,         1.3,        107,         1.471,         0.011,,,,,,,,,,,,,         4.1,,,,,         0.000,,       126,,,         1.022,         0.016,         1,         0.002,         1.436,         0.006,,,,,,,,,         2.8,,,,,,,,
4,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,06,4회차,127,28,36,36,22,,2012.06.25,,,,        20.3,         8.3,         8.4,         1.2,         4.2,         3.6,          8,         1.582,         0.014,,,,,,,,,,,,,         7.7,,,,,         0.000,,       139,,,         1.272,         0.058,         0,         0.001,         1.524,         0.001,,,,,,,,,         2.9,,,,,,,,
1,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,07,2회차,127,28,36,36,22,,2012.07.09,,,,        22.0,         7.6,         7.7,         1.0,         4.3,         3.6,         49,         1.625,         0.014,,,,,,,,,         0.0000,         0.0000,,,         5.3,,,,,         0.000,,       143,,,         1.268,         0.053,        21,         0.004,         1.386,         0.007,,,,,,,,,         2.7,,,,,,,,
2,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,07,3회차,127,28,36,36,22,,2012.07.16,,,,        16.9,        11.6,         5.8,         1.0,         4.1,         3.1,         10,         1.558,         0.016,,,,,,,,,,,,,         5.7,,,,,         0.000,,       145,,,         1.195,         0.048,         5,         0.001,         1.506,         0.012,,,,,,,,,         2.4,,,,,,,,
3,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,07,1회차,127,28,36,36,22,,2012.07.02,,,,        21.0,         8.2,         8.3,         1.3,         4.2,         3.5,          3,         1.731,         0.015,,,,,,,,,,,,,         6.7,,,,,         0.000,,       139,,,         1.261,         0.071,         0,         0.001,         1.629,         0.011,,,,,,,,,         2.6,,,,,,,,
4,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,07,4회차,127,28,36,36,22,,2012.07.23,,,,        24.4,         8.2,         6.5,         1.0,         4.3,         3.4,         16,         2.025,         0.020,,,,,,,,,,,,,         6.4,,,,,         0.000,,       146,,,         1.242,         0.028,         5,         0.005,         1.649,         0.012,,,,,,,,,         3.4,,,,,,,,
5,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,07,5회차,127,28,36,36,22,,2012.07.30,,,,        25.1,         7.9,         5.7,         1.0,         4.9,         2.3,          7,         1.401,         0.014,,,,,,,,,,,,,         7.0,,,,,         0.000,,       146,,,         1.313,         0.026,         1,         0.002,         1.354,         0.011,,,,,,,,,         3.1,,,,,,,,
1,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,08,1회차,127,28,36,36,22,,2012.08.06,,,,        25.8,         8.3,         5.1,         1.1,         4.7,         2.1,          5,         1.452,         0.021,,,,,,,,,,,,,         5.8,,,,,         0.000,,       146,,,         1.233,         0.059,         1,         0.005,         1.403,         0.012,,,,,,,,,         3.1,,,,,,,,
2,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,08,2회차,127,28,36,36,22,,2012.08.13,,,,        25.3,         7.3,         5.2,         1.1,         4.9,         3.7,         50,         1.786,         0.038,,,,,,,,,,,,,         7.7,,,,,         0.000,,       142,,,         1.114,         0.098,        14,         0.003,         1.710,         0.033,,,,,,,,,         3.2,,,,,,,,
3,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,08,4회차,127,28,36,36,22,,2012.08.27,,,,        24.7,         7.1,         4.9,         1.3,         5.5,         3.1,         18,         1.827,         0.030,,,,,,,,,,,,,        10.1,,,,,         0.000,,       133,,,         1.221,         0.021,         4,         0.011,         1.714,         0.016,,,,,,,,,         4.4,,,,,,,,
4,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,08,3회차,127,28,36,36,22,,2012.08.20,,,,        25.1,         7.2,         5.1,         1.4,         5.6,         2.5,         56,         1.392,         0.024,,,,,,,,,,,,,        10.6,,,,,         0.000,,       134,,,         1.152,         0.061,        34,         0.006,         1.318,         0.018,,,,,,,,,         3.4,,,,,,,,
