ROWNO,SITE_ID,SITE_NAME,MSR_DATE,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100
122480,S02007,칠서,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122481,S02008,창암,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.11,27.72,,,,,,,,31.17,,1,,,1,0,0,,0,54.62,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,
122482,S02009,다산,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122483,S02010,남천,2012-07-01,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,6.6,484,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122484,S02011,안동,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122485,S02012,해평,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122486,S02013,진주,2012-07-01,,,,,,3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,26,7.2,188,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122487,S02014,풍양,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122488,S02015,칠곡,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122489,S02017,상동,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122490,S02018,봉화,2012-07-01,,,,,,1.8,,,,,,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0.1,0.3,0.1,1.775,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,8.1,407,6.7,7.3,0,0,0,0.003,,,,,,,0.2,,,,,,,,,,,,,,,,
122491,S02019,구미,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122492,S02020,신암,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122493,S02021,도개,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122494,S02022,회상,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122495,S02106,(구)청암,2012-07-01,,,,,,3.2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.235,0.025,,,65,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,8.7,318,8.9,6.4,,,,,,,,,,,0,,,,,,,,,,,,,,,,
122640,S03002,갑천,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122641,S03003,대청호,2012-07-01,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,0.033,5.9,,,,,,,,,24.7,8.3,152,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,
122642,S03004,공주,2012-07-01,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,246,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,6.9,283,3.7,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
122643,S03005,부여,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122644,S03006,미호천,2012-07-01,,,,,,6.1,,,,,,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,,,,,,,,,,,,24.9,7,254,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,
122645,S03007,장계,2012-07-01,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,1.16,0.028,4,,,,,,,,,25.9,7.6,152,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122646,S03008,용담호,2012-07-01,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,1.632,0.006,0.2,,,,,,,,,23.1,7.7,94,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122647,S03009,현도,2012-07-01,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,1.71,0.005,,,,,,,,0.041,1.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,7.2,134,8.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
