ROWNO,SITE_ID,SITE_NAME,MSR_DATE,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100 
127874,S04008,동복호,2012-10-17,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,1,0.008,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,6.7,65,7.3,15.7,,,,,,,,,,,,,,0,,,,,,,,,,,,,
127138,S01001,가평,2012-10-17,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,2.046,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,7.1,95,8.8,3.8,,,,,,,,,,,-0.5,,,,,,,,,,,,,,,,
127139,S01002,흥천,2012-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,8,240,10.3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
127140,S01003,경안천,2012-10-17,,,,,,2.2,,,,,,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,,,,,,,,,,,,17.1,7.4,371,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127141,S01004,구리,2012-10-17,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,7.7,172,9.6,5.5,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,
127142,S01005,여주,2012-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,8,192,8.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
127143,S01006,원주,2012-10-17,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,7.7,168,10.7,3.9,,,,,,,,,,,,,,0,,,,,,,,,,,,,
127144,S01007,평창강,2012-10-17,,15.1,8.3,211,9.3,2.4,0,,,,,,,,,,,,,,,,,,,,3.148,0.005,,,,,,,,,,15.1,8.3,211,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,
127145,S01009,한탄강,2012-10-17,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,297,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,7.7,293,9.4,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
127146,S01010,서상,2012-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,0.012,,,,,,,,,,17.7,7.1,89,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,7.1,89,7.6,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
127147,S01011,강천,2012-10-17,,,,,,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,16.4,7.6,218,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127148,S01012,의암호,2012-10-17,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,1.854,0.007,,,,,,,,,,17.5,7.3,91,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127149,S01014,충주,2012-10-17,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,1.741,0.019,10.3,,,,,,,,,18,7.4,181,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127150,S01015,인제,2012-10-17,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,1.674,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,7.4,72,10.4,0.7,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,
127151,S01016,미산,2012-10-17,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,3.09,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,7.6,386,8.4,6.9,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,
127152,S01017,포천,2012-10-17,,,,,,6.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.098,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,7.4,786,8.4,7.4,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,
127153,S01018,단양,2012-10-17,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,2.497,0.004,,,,,,,,,,15.3,8,264,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127154,S01019,화천,2012-10-17,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,1.442,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,7.2,93,9.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
127155,S01020,능서,2012-10-17,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,2.766,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,8.7,193,10.9,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
127156,S01021,달천,2012-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127157,S02001,성서,2012-10-17,,,,,,5.8,,,,,,0,0.1,0,0,0,0,0,0,0,0,0.9,0,0,0,0,,,,,,,,,,,,22.2,6.7,916,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.001,0.013,,,,,,,,,,,,,,,,,,,,,,,
127158,S02002,고령,2012-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127159,S02003,왜관,2012-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127160,S02004,강창,2012-10-17,,19.9,7.9,848,9.9,2.8,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127163,S02007,칠서,2012-10-17,,,,,,2.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,63,133,,,,,,18.8,7.7,175,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128584,S02019,구미,2012-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128583,S02018,봉화,2012-10-18,,,,,,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.255,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,,424,9.4,1.5,0.005,0,0,0.094,,,,,,,-0.1,,,,,,,,,,,,,,,,
128586,S02021,도개,2012-10-18,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,1.939,0.005,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,8.8,194,12,228,,,,,,,,,,,,,,,,,,,,,,,,,,,
128587,S02022,회상,2012-10-18,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.004,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,8.3,184,9.2,6.6,,,,,,,,,,,0,,,,,,,,,,,,,,,,
128588,S03002,갑천,2012-10-18,,,,,,3.3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,7.2,436,8.3,5.5,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,
128589,S03003,대청호,2012-10-18,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,1.492,0.013,3.3,,,,,,,,,20.1,7.3,118,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,
128590,S03004,공주,2012-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128591,S03005,부여,2012-10-18,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,41.2,,336,369,,,,,,15.8,8.8,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128592,S03006,미호천,2012-10-18,,,,,,2.7,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,,,,,,,,,,,,16.4,7.4,482,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,,,,,
128593,S03007,장계,2012-10-18,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,1.466,0.013,3.8,,,,,,,,,20,7.8,110,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128594,S03008,용담호,2012-10-18,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,1.43,0.007,6.9,,,,,,,,,19.6,7,76,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128595,S03009,현도,2012-10-18,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,1.527,0.018,,,,,,,,0.044,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,6.9,88,6.1,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
128596,S03010,옥천천,2012-10-18,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,2.605,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,7.9,240,9.1,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
128597,S03011,이원,2012-10-18,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,2.103,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,7.8,129,9.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
128424,S01017,포천,2012-10-18,,,,,,6.9,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.317,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,7.4,769,8.8,8.2,,,,,,,,,,,0,,,,,,,,,,,,,,,,
128425,S01018,단양,2012-10-18,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,2.591,0.004,,,,,,,,,,14.6,7.9,266,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128426,S01019,화천,2012-10-18,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,1.431,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,7.2,93,9.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
128427,S01020,능서,2012-10-18,,,,,,1,,,,,,,,,,,,,,,,,,,,,2.519,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,8.6,200,10.1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
128428,S01021,달천,2012-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128429,S02001,성서,2012-10-18,,,,,,5.6,,,,,,0.1,0,0,0,0.3,0,0,0,0,0,2.4,0,0,0,0,,,,,,,,,,,,21.9,6.7,973,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.01,,,,,,,,,,,,,,,,,,,,,,,
128430,S02002,고령,2012-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128431,S02003,왜관,2012-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128598,S03012,봉황천,2012-10-18,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,3.014,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,7.2,231,8.2,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
128599,S03013,남면,2012-10-18,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,4.232,0.031,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,7.4,343,9.1,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
128600,S04001,주암호,2012-10-18,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,0.835,0.026,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,6.7,59,8.2,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
128601,S04002,나주,2012-10-18,,,,,,2.3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,7.9,241,9.7,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
128602,S04003,서창교,2012-10-18,,,,,,3.3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,6.8,306,8.6,5.5,,,,,,,,,,,,,,0,,,,,,,,,,,,,
128603,S04004,옥정호,2012-10-18,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,1.94,0.028,0.9,,,,,,,,,19.3,6.9,78,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128604,S04005,용봉,2012-10-18,,,,,,3.1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,78.8,,,,,,,,,18.3,7,291,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128605,S04006,구례,2012-10-18,,,,,,1.4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,8,131,10.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
128606,S04007,탐진호,2012-10-18,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,0.515,0.011,5.4,,,,,,,,,17.8,6.8,58,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
128607,S04008,동복호,2012-10-18,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,0.968,0.008,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,6.7,66,6.9,3.8,,,,,,,,,,,,,,0,,,,,,,,,,,,,
127875,S01001,가평,2012-10-18,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,2.011,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,7.1,95,8.9,4.2,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,
127876,S01002,흥천,2012-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,8.2,225,10.4,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
128432,S02004,강창,2012-10-18,,17.7,7.8,804,10.4,2.6,,,,,,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128433,S02005,적포,2012-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128434,S02006,청암,2012-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128435,S02007,칠서,2012-10-18,,,,,,2.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,61,102,,,,,,18.1,7.7,177,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128436,S02008,창암,2012-10-18,,18.4,7.5,211,8.9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,186,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128437,S02009,다산,2012-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128438,S02010,남천,2012-10-18,,,,,,4.2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,17.7,7,573,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128439,S02011,안동,2012-10-18,,,,,,3.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,15.5,7.7,147,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128440,S02012,해평,2012-10-18,,,,,,5.8,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,9.2,198,11.8,8.2,,,,,0,,,,,,,,,,,,,,,,,,,,,,
127877,S01003,경안천,2012-10-18,,,,,,2.1,,,,,,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,,,,,,,,,,,,15.7,7.5,354,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127878,S01004,구리,2012-10-18,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,7.5,181,9.7,5.1,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,
127879,S01005,여주,2012-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,8.5,192,9.6,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
127880,S01006,원주,2012-10-18,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,7.9,164,11.9,5.9,,,,,,,,,,,,,,0,,,,,,,,,,,,,
127881,S01007,평창강,2012-10-18,,14,8.3,213,9.7,2.7,0,,,,,,,,,,,,,,,,,,,,3.135,0.005,,,,,,,,,,14,8.3,213,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,
127882,S01009,한탄강,2012-10-18,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,255,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,7.7,329,9.6,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
127883,S01010,서상,2012-10-18,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,1.497,0.011,,,,,,,,,,17.3,7.3,88,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,7.3,88,7.8,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
127884,S01011,강천,2012-10-18,,,,,,2.7,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,14.8,7.8,216,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127885,S01012,의암호,2012-10-18,,,,,,1,,,,,,,,,,,,,,,,,,,,,2.043,0.007,,,,,,,,,,17,7.3,90,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127886,S01014,충주,2012-10-18,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,1.717,0.017,4.8,,,,,,,,,17.3,7.6,185,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127887,S01015,인제,2012-10-18,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,1.697,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,7.4,72,10.8,0.3,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,
127888,S01016,미산,2012-10-18,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,3.293,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,7.6,423,8.3,8.7,,,,,,,,,,,-0.3,,,,,,,,,,,,,,,,
128579,S02013,진주,2012-10-18,,,,,,2.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,17,7.2,126,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128580,S02014,풍양,2012-10-18,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,2.285,0.009,,,,,,,,,,14.7,7.6,151,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128581,S02015,칠곡,2012-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128582,S02017,상동,2012-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,2.477,0.021,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,6.8,149,8.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
128585,S02020,신암,2012-10-18,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,2.192,0.005,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,8.8,180,9.8,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
126491,S03007,장계,2012-10-19,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,1.384,0.013,1.2,,,,,,,,,19.8,7.7,111,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126490,S03006,미호천,2012-10-19,,,,,,2.6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,,,,,,,,,,,,16.2,7.4,475,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,
127032,S03009,현도,2012-10-19,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,1.52,0.02,,,,,,,,0.048,0.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,6.9,87,5.9,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
127033,S03010,옥천천,2012-10-19,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,2.733,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,8.1,244,9.7,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
127034,S03011,이원,2012-10-19,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,1.988,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,8,130,9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
127035,S03012,봉황천,2012-10-19,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,2.952,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,7.2,233,8.5,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
127036,S03013,남면,2012-10-19,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,4.123,0.034,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,7.4,332,9.9,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
127037,S04001,주암호,2012-10-19,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,0.879,0.026,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,6.7,59,8.4,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
127038,S04002,나주,2012-10-19,,,,,,2.4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,8.4,243,11.2,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
127039,S04003,서창교,2012-10-19,,,,,,3.3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,7,327,9.8,3.8,,,,,,,,,,,,,,0,,,,,,,,,,,,,
127040,S04004,옥정호,2012-10-19,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,1.906,0.029,1.2,,,,,,,,,19.2,6.9,77,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127041,S04005,용봉,2012-10-19,,,,,,3.2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,75.4,,,,,,,,,18.2,7.6,296,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
